gpo_tra,des_gpo,numpaq_lin,arttrab,destra,hrsreal,hrspago,hortra,cantrefmat,ventra,totventra,ctouniesti,ctounit,totcto,utilbta,margenuti,nmodordmei,nmodordmai,otr_art,omarca,numpaq,nompaq,lineapaq,nomlinpaq
"01","MECANICA","3PK - PROMO CAMBIO DE ACEITE Y FILTRO,   Línea : 08-FRONTIER (4 X 2) AUT.","TAMBOF423BDDL","TAMBO ACEITE MOTOR 20W SN",0.00,0.00,4.00,4.00,44.64,178.56,0.00,0.00,0.00,178.56,100.00,"","","","","3PK","PROMO CAMBIO DE ACEITE Y FILTRO","08","FRONTIER (4 X 2) AUT."
"01","MECANICA","3PK - PROMO CAMBIO DE ACEITE Y FILTRO,   Línea : 08-FRONTIER (4 X 2) AUT.","152089E01A","FILTRO PARA ACEITE",0.00,0.00,1.00,1.00,296.91,296.91,0.00,165.69,165.69,131.22,44.20,"","","","","3PK","PROMO CAMBIO DE ACEITE Y FILTRO","08","FRONTIER (4 X 2) AUT."
"01","MECANICA","3PK - PROMO CAMBIO DE ACEITE Y FILTRO,   Línea : 34-FRONTIER (4 X 2) STD.","TAMBOF423BDDL","TAMBO ACEITE MOTOR 20W SN",0.00,0.00,4.00,4.00,44.64,178.56,0.00,0.00,0.00,178.56,100.00,"","","","","3PK","PROMO CAMBIO DE ACEITE Y FILTRO","34","FRONTIER (4 X 2) STD."
"01","MECANICA","3PK - PROMO CAMBIO DE ACEITE Y FILTRO,   Línea : 34-FRONTIER (4 X 2) STD.","152089E01A","FILTRO PARA ACEITE",0.00,0.00,1.00,1.00,296.91,296.91,0.00,165.69,165.69,131.22,44.20,"","","","","3PK","PROMO CAMBIO DE ACEITE Y FILTRO","34","FRONTIER (4 X 2) STD."
"01","MECANICA","3PK - PROMO CAMBIO DE ACEITE Y FILTRO,   Línea : 92-NP300","TAMBOF422BDDL","TAMBO ACEITE MOTOR 15W SN",0.00,0.00,4.00,4.00,44.64,178.56,0.00,0.00,0.00,178.56,100.00,"","","","","3PK","PROMO CAMBIO DE ACEITE Y FILTRO","92","NP300"
"01","MECANICA","3PK - PROMO CAMBIO DE ACEITE Y FILTRO,   Línea : 92-NP300","152089E01A","FILTRO PARA ACEITE",0.00,0.00,1.00,1.00,296.91,296.91,0.00,165.69,165.69,131.22,44.20,"","","","","3PK","PROMO CAMBIO DE ACEITE Y FILTRO","92","NP300"
"01","MECANICA","3PK - PROMO CAMBIO DE ACEITE Y FILTRO,   Línea : 92-NP300","PA1","PROMO CAMBIO DE ACEITE Y FILTRO",1.00,1.00,1.00,0.00,59.29,59.29,0.00,14.38,14.38,44.92,75.76,"","","","","3PK","PROMO CAMBIO DE ACEITE Y FILTRO","92","NP300"
"01","MECANICA","3PK - PROMO CAMBIO DE ACEITE Y FILTRO,   Línea : C2-NP 300 D23","152089E01A","FILTRO PARA ACEITE",0.00,0.00,1.00,1.00,296.91,296.91,0.00,165.69,165.69,131.22,44.20,"","","","","3PK","PROMO CAMBIO DE ACEITE Y FILTRO","C2","NP 300 D23"
"01","MECANICA","3PK - PROMO CAMBIO DE ACEITE Y FILTRO,   Línea : C2-NP 300 D23","TAMBOF423BDDL","TAMBO ACEITE MOTOR 20W SN",0.00,0.00,4.00,4.00,60.99,243.96,0.00,0.00,0.00,243.96,100.00,"","","","","3PK","PROMO CAMBIO DE ACEITE Y FILTRO","C2","NP 300 D23"
"01","MECANICA","CA1 - CAMPAÑA NACIONAL,   Línea : 01-TSURU","TAMBOF401ADDL","ACEITE PARA MOTOR 20W",0.00,0.00,4.00,4.00,76.10,304.40,0.00,0.00,0.00,304.40,100.00,"","","","","CA1","CAMPAÑA NACIONAL","01","TSURU"
