nomsuc2,numinv,caract,marca,color,moduni,numser,nomsuc1,diasapar,nomvenapar,diaseninv,numfacc,fecreg,tipocompra,obs_veh,nummot,numinv2,tipuni,llaves,desnac_imp,modellinea,descvers,ctoori,ctocon,ctototal
"BODEGA JUCHITAN","29145","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","PLATA/NEGRO","2026","3N6AD33A4TK819490","JUCHITAN",0,"",203,"4084753",30/01/2026,"PV3","SEGURO DE LLANTA REFACC TIPO 1 $ 3,210 + CAJA DE HERRAMIENTAS $ 4,400.00","QR25670887H","","FGAL1","","NACIONAL","","",502586.66,0.00,502586.66
"BODEGA SALINA CRUZ","29619","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","BLANCO/NEGRO","2026","3N6AD33A5TK823256","SALINA CRUZ",0,"",175,"4103608",27/02/2026,"PV3","TUMBABURROS DEPORTIVO","QR25674587H","","FGAL1","","NACIONAL","","",504170.26,0.00,504170.26
"PEÑUELA","29637","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","PLATA/NEGRO","2026","3N6AD33A4TK823698","CORDOBA",0,"",174,"4104293",28/02/2026,"PV3","DISPONIBLE","QR25675362H","","FGAL1","","NACIONAL","","",504170.26,0.00,504170.26
"PEÑUELA","29638","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","BLANCO/NEGRO","2026","3N6AD33A5TK824259","CORDOBA",0,"",174,"4104294",28/02/2026,"PV3","TUMBABURROS DEPORTIVO $ 13,120 + TAPETE HULE FRONTIER $ 1,570","QR25675371H","","FGAL1","","NACIONAL","","",504170.26,0.00,504170.26
"BODEGA ORIZABA","29732","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","BLANCO/NEGRO","2026","3N6AD33A4TK822261","ORIZABA",0,"",165,"4106138",09/03/2026,"PV3","TUMBABURROS DEPORTIVO $ 13,120 + TAPETE HULE FRONTIER $ 1,570","QR25672891H","","FGAL1","","NACIONAL","","",504170.26,6540.91,510711.17
"BODEGA TIERRABLANCA","29904","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","BLANCO/NEGRO","2026","3N6AD33A7TK825641","TIERRA BLANCA",0,"",150,"4116261",24/03/2026,"PV3","DISPONIBLE","QR25677221H","","FGAL1","","NACIONAL","","",504170.26,0.00,504170.26
"BODEGA SALINA CRUZ","30039","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","PLATA/NEGRO","2026","3N6AD33A4TK825631","SALINA CRUZ",0,"",150,"4116472",24/03/2026,"PV3","TUMBABURROS DEPORTIVO $ 13,120 + TAPETE HULE FRONTIER $ 1,570","QR25677743H","","FGAL1","","NACIONAL","","",504170.26,0.00,504170.26
"BODEGA ORIZABA","30054","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","PLATA/NEGRO","2026","3N6AD33A0TK826775","ORIZABA",0,"",149,"4117798",25/03/2026,"PV3","DISPONIBLE","QR25679363H","","FGAL1","","NACIONAL","","",504170.26,286.47,504456.73
"BODEGA ORIZABA","30117","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","PLATA/NEGRO","2026","3N6AD33A9TK828654","ORIZABA",0,"",147,"4120132",27/03/2026,"PV3","SEGURO DE LLANTA REFACC TIPO 1 $ 3,210 + CAJA DE HERRAMIENTAS $ 4,400.00","QR25679987H","","FGAL1","","NACIONAL","","",504170.26,3454.98,507625.24
"BODEGA TUXTEPEC","30126","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","PLATA/NEGRO","2026","3N6AD33AXTK828498","TUXTEPEC",0,"",147,"4120275",27/03/2026,"PV3","DISPONIBLE","QR25680061H","","FGAL1","","NACIONAL","","",504170.26,0.00,504170.26
"BODEGA ORIZABA","30203","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","PLATA/NEGRO","2026","3N6AD33A1TK828597","ORIZABA",0,"",143,"4123222",31/03/2026,"PV3","SEGURO DE LLANTA REFACC TIPO 1 $ 3,210 + CAJA DE HERRAMIENTAS $ 4,400.00","QR25679993H","","FGAL1","","NACIONAL","","",504170.26,3410.65,507580.91
"BODEGA TUXTEPEC","30227","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","BLANCO/NEGRO","2026","3N6AD33A9TK828802","TUXTEPEC",0,"",143,"4123430",31/03/2026,"PV3","SEGURO DE LLANTA REFACC TIPO 1 $ 3,210 + CAJA DE HERRAMIENTAS $ 4,400.00","QR25680054H","","FGAL1","","NACIONAL","","",504170.26,0.00,504170.26
"BODEGA SALINA CRUZ","30236","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","BLANCO/NEGRO","2026","3N6AD33A7TK828796","SALINA CRUZ",0,"",143,"4123429",31/03/2026,"PV3","TUMBABURROS DEPORTIVO $ 13,120 + TAPETE HULE FRONTIER $ 1,570","QR25680052H","","FGAL1","","NACIONAL","","",504170.26,0.00,504170.26
"BODEGA TUXTEPEC","30261","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","PLATA/NEGRO","2026","3N6AD33A5TK827579","TUXTEPEC",0,"",143,"4124669",31/03/2026,"PV3","TUMBABURROS DEPORTIVO","QR25679319H","","FGAL1","","NACIONAL","","",504170.26,0.00,504170.26
"BODEGA TUXTEPEC","30263","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","PLATA/NEGRO","2026","3N6AD33A3TK827922","TUXTEPEC",0,"",143,"4124667",31/03/2026,"PV3","TUMBABURROS DEPORTIVO","QR25679080H","","FGAL1","","NACIONAL","","",504170.26,0.00,504170.26
"BODEGA ORIZABA","30850","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","BLANCO/NEGRO","2026","3N6AD33A5TL652843","ORIZABA",0,"",82,"4149413",31/05/2026,"PV3","(ORIZABA), CANAL ASIG. : AVR/MAR - DIRECTA NMX","QR25684928H","","FGAL1","","NACIONAL","","",504292.26,0.00,504292.26
"BODEGA TIERRABLANCA","30863","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","BLANCO/NEGRO","2026","3N6AD33A6TL652740","TIERRA BLANCA",0,"",82,"4149098",31/05/2026,"PV3","(TIERRA BLANCA) (# CONCS. : 00410), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25684953H","","FGAL1","","NACIONAL","","",504292.26,0.00,504292.26
"BODEGA TUXTEPEC","30947","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","ROJO/NEGRO","2026","3N6AD33A6TL656898","TUXTEPEC",0,"",74,"4151239",08/06/2026,"PV3","DISPONIBLE","QR25688638H","","FGAL1","","NACIONAL","","",504292.26,0.00,504292.26
"BODEGA TUXTEPEC","31015","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","ROJO/NEGRO","2026","3N6AD33A4TL657340","TUXTEPEC",0,"",70,"4154007",12/06/2026,"PV3","DISPONIBLE","QR25687909H","","FGAL1","","NACIONAL","","",504292.26,0.00,504292.26
"BODEGA ORIZABA","31055","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","PLATA/NEGRO","2026","3N6AD33A6TL658313","ORIZABA",0,"",66,"4155783",16/06/2026,"PV3","(ORIZABA), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25690340H","","FGAL1","","NACIONAL","","",504292.26,0.00,504292.26
"BODEGA SALINA CRUZ","31314","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","PLATA/NEGRO","2026","3N6AD33A9TL661559","SALINA CRUZ",0,"",46,"4168225",06/07/2026,"PV3","TUMBABURROS DEPORTIVO","QR25694676H","","FGAL1","","NACIONAL","","",504292.26,0.00,504292.26
"BODEGA TUXTEPEC","31583","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","PLATA/NEGRO","2026","3N6AD33A5TL650042","TUXTEPEC",0,"",17,"4182151",04/08/2026,"PV3","(TUXTEPEC) (# CONCS. : 00524), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25680014H","","FGAL1","","NACIONAL","","",504431.10,0.00,504431.10
"PEÑUELA","31703","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","BLANCO/NEGRO","2026","3N6AD33A0TL667864","CORDOBA",0,"",10,"4185654",11/08/2026,"PV3","(CORDOBA) (# CONCS. : 00416), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25700258H","","FGAL1","","NACIONAL","","",504431.10,0.00,504431.10
"BODEGA ORIZABA","31722","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","BLANCO/NEGRO","2026","3N6AD33AXTL668116","ORIZABA",0,"",9,"4186295",12/08/2026,"PV3","(ORIZABA), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25700595H","","FGAL1","","NACIONAL","","",504431.10,0.00,504431.10
"BODEGA SALINA CRUZ","29093","FRONTIER PRO-4X 2.5L 4 CIL TA 4X4 AA","NISSAN","ROJO/NEGRO","2026","3N6AD33B8TK818349","SALINA CRUZ",0,"",205,"4081887",28/01/2026,"PV3","DISPONIBLE","QR25669673H","","FPAL1","","NACIONAL","","",594655.66,0.00,594655.66
"PEÑUELA","30217","FRONTIER PRO-4X 2.5L 4 CIL TA 4X4 AA","NISSAN","ROJO/NEGRO","2026","3N6AD33B0TK827756","CORDOBA",0,"",143,"4123228",31/03/2026,"PV3","TUMBABURROS DEPORTIVO, TAPETE HULE, NITRO ACCESORIO TAPON","QR25680094H","","FPAL1","","NACIONAL","","",596970.26,0.00,596970.26
